id,nombre,parroquia,barrio,calle,numero,lat,lon,codigo_postal,telefono,web
4794,Campo de Fútbol San Miguel,OIA,CABO ESTAI,CMÑO PIRUCHA,0,42.18397,-8.81057,36390,986490327,
775,Campo de Fútbol A Pitusa-C.F. A Pitusa Tomás Alonso,VIGO,VIGO,CMÑO BARCIELA,0,42.22320,-8.74191,36208,,
776,Campo de Fútbol Federativo Coia,VIGO,VIGO,RUA ROSAL (COIA),0,42.21457,-8.74688,36209,,
778,Campo de Fútbol A Bouza,VIGO,VIGO,PQUE BOUZA,0,42.21292,-8.74912,36213,,
780,Estadio de Futbol de Balaidos,VIGO,VIGO,AVDA BALAIDOS,0,42.21179,-8.73970,36210,986110900,
781,Campo de Fútbol Rápido de Bouzas (Baltasar Pujales),VIGO,VIGO,RUA EDUARDO CABELLO,0,42.22676,-8.75575,36208,986211021,http://www.rapidodebouzas.com/
790,Campo de Fútbol Municipal das Relfas (Sárdoma Moledo),SARDOMA,RELFAS,CMÑO CAMPO DA FEIRA,0,42.20710,-8.70900,36214,986481212,
792,Campo de Fútbol Municipal Monte da Mina (Castrelos),CASTRELOS,GALINDRA,CMÑO GALINDRA,0,42.20872,-8.72321,36213,986423459,
793,Campo de Fútbol A Guia (Teis C.F.),VIGO,VIGO,RUA DOCTOR CORBAL,0,42.25869,-8.70166,36207,,
798,Campo de Fútbol Santa Mariña - Cotogrande,CABRAL,BECERREIRA,SBIDA COTO GRANDE,0,42.21813,-8.64952,36318,986685514,http://www.udsantamarina.com
799,Campo de Fútbol Barreiro,LAVADORES,BARREIRO,AVDA RAMON NIETO,326,42.22861,-8.68079,36205,,
800,Campo de Fútbol Municipal do Meixueiro,LAVADORES,BOUCIÑA,CTRA VELLA MADRID,0,42.21685,-8.67755,36214,,
803,Campo de Fútbol Municipal Candeán,CANDEAN,IGREXA,SBIDA MADROA (CANDEAN),0,42.24685,-8.67432,36317,986376510,
804,Campos de Fútbol de A Madroa (Celta de Vigo),CANDEAN,IGREXA,SBIDA MADROA (CANDEAN),0,42.24615,-8.67205,36317,986281862,http://www.celtavigo.net
806,Campo de Fútbol Sampaio,VIGO,VIGO,RUA AREEIRO,0,42.24598,-8.67866,36215,,
810,Campo de Fútbol Alcabre - C.F. Alcabre,ALCABRE,AMEIXEIRA,CMÑO AMEIXEIRA,9,42.21892,-8.76629,36212,,http://www.arenasdealcabre.es
811,Campo de Fútbol Municipal de Fragoselo,CORUXO,FRAGOSELO,SBIDA SAN SEBASTIAN (CORUXO),0,42.17814,-8.76955,36330,,
812,Campo de Fútbol Bao-Coruxo,CORUXO,FONTELA,CTRA BAO,153,42.19600,-8.79195,36331,986491823,
4637,"Campo de Fútbol Carballal ""A Bandeira""",CABRAL,CARBALLAL,RUA CARBALLAL (CABRAL),0,42.24080,-8.63767,36318,,
